time_min,temperature_k018_C,temperature_k010_C
0.0,80.0,80.0
0.5,74.8358711162737,77.07376547004284
1.0,70.11621268467633,74.29024508215757
1.5,65.8027696602112,71.64247858550347
2.0,61.86057956426186,69.12384518467891
2.5,58.2576890973064,66.72804698428429
3.0,54.96489514243938,64.44909324090307
3.5,51.955508060413834,62.28128538312281
4.0,49.2051353575983,60.21920276213836
4.5,46.69148397337647,58.2576890973064
5.0,44.394179584435946,56.391839582758
5.5,42.29460146132274,54.6169886228292
6.0,40.37573153869634,52.928698165641585
6.5,38.6220164759291,51.32274660566097
7.0,37.01924158998622,49.795118227484565
7.5,35.5544156387535,48.34199316446088
8.0,34.2156655209273,46.959737847033296
8.5,32.99214003896042,45.6448959169236
9.0,31.873921945016882,44.394179584435946
9.5,30.851947557027326,43.204461407270074
10.0,29.917933293295192,42.07276647028654
10.5,29.064308530182252,40.99626494666932
11.0,28.28415423865357,39.97226502188477
11.5,27.571146902302328,38.99820616274319
12.0,26.91950726228375,38.071652714732124
12.5,26.32395347371186,37.190287811611405
13.0,25.779658293829584,36.35190758204075
13.5,25.282209954942356,35.55441563875349
14.0,24.827576404971946,34.79581783649638
14.5,24.412072625783427,34.07421728562786
15.0,24.032330764384987,33.38780960890579
15.5,23.685272834900008,32.734878429604585
16.0,23.368085770048022,32.113791079679324
16.5,23.07819861991515,31.522994517245245
17.0,22.81326171319931,30.961011443164075
17.5,22.571127612022412,30.42643660702671
18.0,22.349833705939226,29.917933293295192
18.5,22.147586304059317,29.434229978817655
19.0,21.96274609634119,28.9741171533581
19.5,21.79381486621558,28.53644429519081
20.0,21.639423346837553,28.120116994196763
